Freq(Hz),Magnitude
0.00,0
16.28,0
32.55,0
48.83,0
65.10,0
81.38,0
97.65,0
113.93,0
130.20,0
146.48,0
162.75,0
179.03,0
195.30,0
211.58,0
227.86,0
244.13,0
260.41,0
276.68,0
292.96,0
309.23,0
325.51,0
341.78,0
358.06,0
374.33,0
390.61,0
406.88,0
423.16,0
439.44,0
455.71,0
471.99,0
488.26,0
504.54,0
520.81,0
537.09,0
553.36,0
569.64,0
585.91,0
602.19,0
618.46,0
634.74,0
651.02,0
667.29,0
683.57,0
699.84,0
716.12,0
732.39,0
748.67,0
764.94,0
781.22,0
797.49,0
813.77,0
830.04,0
846.32,0
862.60,0
878.87,0
895.15,0
911.42,0
927.70,0
943.97,0
960.25,0
976.52,0
992.80,0
1009.07,0
1025.35,0
1041.63,0
1057.90,0
1074.18,0
1090.45,0
1106.73,0
1123.00,0
1139.28,0
1155.55,0
1171.83,0
1188.10,0
1204.38,0
1220.65,0
1236.93,0
1253.21,0
1269.48,0
1285.76,0
1302.03,0
1318.31,0
1334.58,0
1350.86,0
1367.13,0
1383.41,0
1399.68,0
1415.96,0
1432.23,0
1448.51,0
1464.79,0
1481.06,0
1497.34,0
1513.61,0
1529.89,0
1546.16,0
1562.44,0
1578.71,0
1594.99,0
1611.26,0
1627.54,0
1643.81,0
1660.09,0
1676.37,0
1692.64,0
1708.92,0
1725.19,0
1741.47,0
1757.74,0
1774.02,0
1790.29,0
1806.57,0
1822.84,0
1839.12,0
1855.39,0
1871.67,0
1887.95,0
1904.22,0
1920.50,0
1936.77,0
1953.05,0
1969.32,0
1985.60,0
2001.87,0
2018.15,0
2034.42,0
2050.70,0
2066.97,0
2083.25,0
2099.53,0
2115.80,0
2132.08,0
2148.35,0
2164.63,0
2180.90,0
2197.18,0
2213.45,0
2229.73,0
2246.00,0
2262.28,0
2278.55,0
2294.83,0
2311.11,0
2327.38,0
2343.66,0
2359.93,0
2376.21,0
2392.48,0
2408.76,0
2425.03,0
2441.31,0
2457.58,0
2473.86,0
2490.13,0
2506.41,0
2522.69,0
2538.96,0
2555.24,0
2571.51,0
2587.79,0
2604.06,0
2620.34,0
2636.61,0
2652.89,0
2669.16,0
2685.44,0
2701.71,0
2717.99,0
2734.27,0
2750.54,0
2766.82,0
2783.09,0
2799.37,0
2815.64,0
2831.92,0
2848.19,0
2864.47,0
2880.74,0
2897.02,0
2913.29,0
2929.57,0
2945.85,0
2962.12,0
2978.40,0
2994.67,0
3010.95,0
